City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ushuaia,-54.8,-68.3,274.96,93,100,11.18,AR,1698612172
84,tanjung pandan,-2.75,107.65,298.04,84,74,1.94,ID,1698612433
85,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,100,2.0,RU,1698612457
86,nova vicosa,-17.8919,-39.3719,298.04,77,27,6.94,BR,1698612481
87,yellowknife,62.456,-114.3525,269.49,75,100,5.14,CA,1698612235
88,santa terezinha,-29.9002,-50.0904,295.18,87,69,1.37,BR,1698612435
89,acarau,-2.8856,-40.12,300.22,69,34,8.0,BR,1698612242
90,atafu village,-8.5421,-172.5159,302.23,70,96,4.72,TK,1698612414
91,enewetak,11.3474,162.3373,302.01,76,55,8.67,MH,1698612430
92,kimbe,-5.5502,150.1429,298.46,88,100,1.38,PG,1698612421
93,al kut,32.5147,45.819,299.77,27,100,0.48,IQ,1698612520
94,jamestown,42.097,-79.2353,282.05,95,100,4.12,US,1698612218
95,whitehorse,60.7161,-135.0538,270.94,93,100,6.17,CA,1698612428
96,tazovsky,67.4667,78.7,257.16,94,13,1.28,RU,1698612443
97,bethel,41.3712,-73.414,283.2,87,100,3.6,US,1698612415
98,zheleznogorsk-ilimskiy,56.5768,104.1217,265.02,96,81,1.79,RU,1698612521
99,port isabel,26.0734,-97.2086,306.2,57,20,6.69,US,1698612481
100,ingeniero guillermo n. juarez,-23.9,-61.85,309.67,34,11,6.21,AR,1698612521
101,illizi,26.4833,8.4667,301.04,18,9,2.31,DZ,1698612521
102,teknaf,20.8624,92.3058,295.84,76,5,2.54,BD,1698612521
103,samfya,-11.3649,29.5565,295.99,67,98,2.63,ZM,1698612521
104,tobruk,32.0836,23.9764,295.2,79,14,2.07,LY,1698612522
105,nizhneudinsk,54.9076,99.0276,264.67,60,14,1.3,RU,1698612441
106,port mathurin,-19.6833,63.4167,297.74,79,11,6.86,MU,1698612413
107,hermanus,-34.4187,19.2345,286.72,64,0,11.54,ZA,1698612408
108,yaren,-0.5472,166.916,301.42,71,86,3.01,NR,1698612471
109,kone,-21.0595,164.8658,295.65,50,13,2.74,NC,1698612362
110,valparaiso,-33.0393,-71.6273,290.37,83,100,4.12,CL,1698612428
111,de aar,-30.6497,24.0123,279.29,53,0,13.89,ZA,1698612522
112,issenye,-2.0,34.3333,292.21,87,24,1.1,TZ,1698612523
113,ar ruseris,11.8659,34.3869,297.63,79,100,1.33,SD,1698612523
114,ust-tsilma,65.441,52.1498,267.38,79,100,4.02,RU,1698612523
115,butere,0.2064,34.4935,293.64,91,87,1.24,KE,1698612523
116,port saint john's,-31.6229,29.5448,288.25,60,100,3.52,ZA,1698612496
117,auki,-8.7676,160.7034,300.09,83,70,1.43,SB,1698612523
118,tamale,9.4008,-0.8393,302.63,46,1,1.68,GH,1698612524
119,nguigmi,14.2495,13.1092,302.89,23,52,4.41,NE,1698612524
120,la ronge,55.1001,-105.2842,272.29,64,75,7.2,CA,1698612428
121,talnakh,69.4865,88.3972,256.04,93,63,1.54,RU,1698612450
122,castillos,-34.1667,-53.8333,291.96,82,19,3.07,UY,1698612428
123,belyy yar,53.6039,91.3903,265.09,86,0,1.0,RU,1698612462
124,alexandria,31.2156,29.9553,295.45,70,15,5.06,EG,1698612372
125,mount pearl,47.5166,-52.7813,279.9,69,75,10.29,CA,1698612515
126,st. john's,47.5649,-52.7093,280.36,69,75,10.29,CA,1698612419
127,el charco,2.4769,-78.1105,300.98,76,100,2.8,CO,1698612525
128,xam nua,20.4197,104.0439,292.08,100,99,0.9,LA,1698612525
129,hassi messaoud,31.6804,6.0729,302.07,15,40,2.06,DZ,1698612525
130,zunyi,27.6867,106.9072,285.86,89,0,0.44,CN,1698612526
131,taulaga,-11.0553,-171.0883,301.73,73,32,4.81,AS,1698612526
132,saipan,15.1355,145.701,300.54,89,0,2.57,MP,1698612411
133,graaff-reinet,-32.2522,24.5308,281.44,79,0,4.83,ZA,1698612526
134,mount isa,-20.7333,139.5,293.02,77,97,0.0,AU,1698612416
135,invercargill,-46.4,168.35,285.94,75,11,1.34,NZ,1698612425
136,trairi,-3.2778,-39.2689,299.87,72,33,4.99,BR,1698612381
137,ust-nera,64.5667,143.2,255.09,97,60,0.8,RU,1698612425
138,bardai,11.65,7.2333,298.85,22,52,3.7,NG,1698612507
139,sandnessjoen,66.0217,12.6316,271.21,86,20,1.54,NO,1698612428
140,tsiombe,-25.3,45.4833,295.71,82,0,2.01,MG,1698612412
141,severo-yeniseyskiy,60.3725,93.0408,257.91,99,93,1.34,RU,1698612488
142,sitka,57.0531,-135.33,281.09,66,0,1.54,US,1698612415
143,west island,-12.1568,96.8225,299.14,83,100,6.17,CC,1698612417
144,uturoa,-16.7333,-151.4333,299.29,79,15,6.26,PF,1698612436
145,meadow lakes,61.6247,-149.6011,281.46,51,100,4.12,US,1698612527
146,poronaysk,49.2167,143.1167,273.45,70,48,1.0,RU,1698612473
147,xinqing,48.2333,129.5,277.3,56,100,1.23,CN,1698612528
148,saint-louis,16.3333,-15.0,303.79,40,0,5.66,SN,1698612528
149,turaif,31.6725,38.6637,290.29,72,75,5.14,SA,1698612528
150,saynshand,44.8824,110.1163,275.56,40,77,4.37,MN,1698612528
151,sefaatli,39.5043,34.7563,290.4,51,100,2.01,TR,1698612529
152,angaur state,6.906,134.13,301.09,74,42,3.0,PW,1698612529
153,kalulushi,-12.8378,28.0919,292.83,80,100,1.64,ZM,1698612529
154,la passe,45.5549,-0.8967,286.47,91,100,4.77,FR,1698612491
155,lebu,-37.6167,-73.65,283.55,58,70,6.15,CL,1698612457
156,zuwarah,32.9312,12.082,297.97,77,98,4.48,LY,1698612529
157,bredasdorp,-34.5322,20.0403,286.63,60,0,9.25,ZA,1698612413
158,demre,36.2537,29.9777,293.55,73,99,1.19,TR,1698612530
159,setif,36.1911,5.4137,293.6,23,20,3.6,DZ,1698612530
160,timra,62.487,17.3257,268.97,86,0,2.57,SE,1698612530
161,mwinilunga,-11.7358,24.4293,290.59,93,33,1.9,ZM,1698612530
162,abaza,52.655,90.0928,270.48,53,100,0.69,RU,1698612530
163,nizhnevartovsk,60.9344,76.5531,264.16,79,100,2.0,RU,1698612530
164,hakui,36.8833,136.7833,285.51,77,25,1.66,JP,1698612530
165,peterhead,57.5058,-1.7981,281.37,76,100,9.04,GB,1698612531
166,nantucket,41.2835,-70.0995,285.21,77,100,6.17,US,1698612430
167,sal rei,16.1833,-22.9167,298.99,69,100,4.33,CV,1698612531
168,taoudenni,22.6783,-3.9836,306.04,10,0,3.26,ML,1698612415
169,sinop,41.7711,34.8709,288.46,79,100,1.46,TR,1698612531
170,papao,-17.75,-149.55,300.97,81,2,7.69,PF,1698612478
171,port moresby,-9.4431,147.1797,297.83,83,40,3.09,PG,1698612505
172,fort bragg,35.139,-79.006,302.23,48,0,5.14,US,1698612469
173,sengkang,-4.1279,120.0297,295.7,91,89,0.94,ID,1698612532
174,tan-tan,28.438,-11.1032,293.1,72,88,2.05,MA,1698612532
175,dhuusamarreeb,5.535,46.3861,296.54,90,100,4.45,SO,1698612532
176,road town,18.4167,-64.6167,301.2,83,75,2.57,VG,1698612441
177,yemva,62.59,50.8594,268.74,93,100,3.19,RU,1698612475
178,vila velha,-20.3297,-40.2925,300.12,74,0,8.23,BR,1698612532
